,word,CLINTON,O'MALLEY,SANDERS,Total
1385,deaths,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1386,flattered,0.0,0.029411764705882353,0.0,0.011904761904761904
1387,pressing,0.0,0.029411764705882353,0.0,0.011904761904761904
1388,bickering,0.0,0.029411764705882353,0.0,0.011904761904761904
1389,conclusion,0.0,0.029411764705882353,0.0,0.011904761904761904
1390,strides,0.0,0.029411764705882353,0.0,0.011904761904761904
1391,mentioned,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1392,presidential,0.0,0.029411764705882353,0.0,0.011904761904761904
1393,urgent,0.0,0.029411764705882353,0.0,0.011904761904761904
1394,advocacy,0.0,0.029411764705882353,0.0,0.011904761904761904
1395,tara,0.0,0.029411764705882353,0.0,0.011904761904761904
1396,tackle,0.0,0.029411764705882353,0.0,0.011904761904761904
1397,adopt,0.0,0.029411764705882353,0.0,0.011904761904761904
1398,least,0.0,0.029411764705882353,0.0,0.011904761904761904
1399,communists,0.0,0.029411764705882353,0.0,0.011904761904761904
1400,medium,0.0,0.029411764705882353,0.0,0.011904761904761904
1401,disagree,0.0,0.029411764705882353,0.0,0.011904761904761904
1402,collaborative,0.0,0.029411764705882353,0.0,0.011904761904761904
1403,refuse,0.0,0.029411764705882353,0.0,0.011904761904761904
1404,mobility,0.0,0.029411764705882353,0.0,0.011904761904761904
1405,lack,0.0,0.029411764705882353,0.0,0.011904761904761904
1406,excruciating,0.0,0.029411764705882353,0.0,0.011904761904761904
1407,wondering,0.0,0.029411764705882353,0.0,0.011904761904761904
1408,bond,0.0,0.029411764705882353,0.0,0.011904761904761904
1409,universal,0.0,0.029411764705882353,0.0,0.011904761904761904
1410,fell,0.0,0.029411764705882353,0.0,0.011904761904761904
1411,key,0.0,0.029411764705882353,0.0,0.011904761904761904
1412,monsters,0.0,0.029411764705882353,0.0,0.011904761904761904
1413,realize,0.0,0.029411764705882353,0.0,0.011904761904761904
1414,rallies,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1415,coast,0.0,0.029411764705882353,0.0,0.011904761904761904
1416,convinced,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1417,fine,0.0,0.029411764705882353,0.0,0.011904761904761904
1418,service,0.0,0.029411764705882353,0.0,0.0
1419,acceptand,0.0,0.029411764705882353,0.0,0.011904761904761904
1420,racist,0.0,0.029411764705882353,0.0,0.011904761904761904
1421,vulnerabilities,0.0,0.029411764705882353,0.0,0.011904761904761904
1422,administrator,0.0,0.029411764705882353,0.0,0.011904761904761904
1423,christian,0.0,0.029411764705882353,0.0,0.011904761904761904
1424,accountable,0.0,0.029411764705882353,0.0,0.011904761904761904
1425,results,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1426,antitrust,0.0,0.029411764705882353,0.0,0.011904761904761904
1427,northern,0.0,0.029411764705882353,0.0,0.011904761904761904
1428,earth,0.0,0.029411764705882353,0.16129032258064516,0.07142857142857142
1429,fascist,0.0,0.029411764705882353,0.0,0.011904761904761904
1430,required,0.0,0.029411764705882353,0.0,0.011904761904761904
1431,expand,0.0,0.029411764705882353,0.0,0.011904761904761904
1432,cross,0.0,0.029411764705882353,0.0,0.011904761904761904
1433,religion,0.0,0.029411764705882353,0.0,0.011904761904761904
1434,saving,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1435,option,0.0,0.029411764705882353,0.0,0.011904761904761904
1436,demolition,0.0,0.029411764705882353,0.0,0.011904761904761904
1437,moms,0.0,0.029411764705882353,0.0,0.011904761904761904
1438,shot,0.0,0.029411764705882353,0.0,0.011904761904761904
1439,racial,0.0,0.029411764705882353,0.0,0.011904761904761904
1440,restrain,0.0,0.029411764705882353,0.0,0.011904761904761904
1441,usaid,0.0,0.029411764705882353,0.0,0.011904761904761904
